PanelID,Type,Life,Burn-in,Long-termDegradation,Burn-inPeakSunHours,Cost,PowerDensity,EnergyEfficiency
1,Test Panel 1,25.000000000000,2.00%,0.70%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
Andrew,Ideal panel,25.000000000000,0.00%,0.70%,0.000000000000,0.245000000000,204.891161814844,20.90726140967800%
2,Test Panel 2,35.000000000000,1.50%,0.70%,10.000000000000,0.246000000000,210.013440860215,21.42994294491990%
3,Test Panel 3,22.500000000000,2.00%,0.70%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
4,Test Panel 4,27.500000000000,2.00%,0.70%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
5,Test Panel 5,25.000000000000,1.80%,0.70%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
6,Test Panel 6,25.000000000000,2.20%,0.70%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
7,Test Panel 7,25.000000000000,2.00%,0.63%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
8,Test Panel 8,25.000000000000,2.00%,0.77%,10.000000000000,0.245000000000,204.891161814844,20.90726140967800%
9,Test Panel 9,25.000000000000,2.00%,0.70%,10.000000000000,0.220500000000,204.891161814844,20.90726140967800%
10,Test Panel 10,25.000000000000,2.00%,0.70%,10.000000000000,0.269500000000,204.891161814844,20.90726140967800%
11,Test Panel 11,25.000000000000,2.00%,0.70%,10.000000000000,0.245000000000,184.402045633360,18.81653526871020%
12,Test Panel 12,25.000000000000,2.00%,0.70%,10.000000000000,0.245000000000,225.380277996328,22.99798755064580%
13,Test Panel 13,20.000000000000,2.00%,1.00%,500.000000000000,0.245000000000,196.000000000000,20.00000000000000%
14,Test Panel 14,18.000000000000,2.00%,0.70%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
15,Test Panel 15,22.000000000000,2.00%,0.70%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
16,Test Panel 16,20.000000000000,1.80%,1.00%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
17,Test Panel 17,20.000000000000,2.20%,1.00%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
18,Test Panel 18,20.000000000000,2.00%,0.90%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
19,Test Panel 19,20.000000000000,2.00%,1.10%,500.000000000000,0.245000000000,204.891161814844,20.90726140967800%
